Total Timesteps,Average Reward
199800,-3.12E-16
399323,-485.8820121
421191,66.97791891
463413,-75.22965206
482282,16.73157336
501078,-23.73234136
519240,66.85295556
543206,10.08700442
561977,41.7453863
582126,42.38740838
615040,28.2156295
634610,-133.0898065
653917,-32.87123432
669746,-10.60426241
685676,-17.16110775
701495,-4.749598439
717594,-3.810785598
733509,-1.164950693
749510,14.54743347
765524,33.89595484
781539,47.27382233
797401,15.29437511
813177,25.63368725
828880,49.80842001
844654,33.87849769
860504,60.64290719
876011,51.32271579
891540,57.80545396
907032,41.27227928
922921,41.04618113
937862,20.0152787
952764,56.32818816
967619,34.00923617
982444,43.64751838
997317,32.08819488
1012145,47.31140486
1027110,64.01483513
1041970,50.25921226
1056822,47.35071889
1071696,42.71841509
1086557,54.36001997
1101437,65.94834499
1116332,61.46896032
1131187,52.2668418
1146006,43.46714617
1160821,64.60413213
1175650,58.105514
1190532,68.36068802
1205175,45.49108594
1219805,68.3940764
1234511,48.12087937
1249123,58.38115239
1263813,66.61004064
1278480,61.54920223
1293074,71.35534753
1307720,73.44944307
1322426,65.04219853
1337147,48.60794494
1351808,63.85432948
1367496,27.63184248
1382307,32.61715291
1397019,60.92071653
1411735,68.26997754
1426446,51.11207353
1441230,52.46648298
1456017,59.45819053
1470883,75.10466394
1486018,73.00968816
1501078,70.50938684
1515995,67.72799095
1532317,13.79793602
1549499,29.7599661
1573379,-56.77826526
1598089,47.87064181
1629764,70.88991635
1661104,81.97642534
1705865,57.95178529
1728896,68.63752235
1744750,82.31419112
1761013,78.5901352
1776655,2.240567658
1792615,72.04521797
1808586,74.14448872
1823635,71.48642589
1838659,82.80696843
1853665,66.49965082
1868657,70.52295327
1883715,61.36390186
1898894,71.85003044
1914094,48.23882493
1929383,71.18515224
1944522,58.48447164
1959594,71.07030923
1974608,69.27000471
1989693,65.11405345
2004713,78.17803251
2019719,61.06029162
2034757,61.45820636
2049749,65.39057566
2064663,76.72112201
2079539,68.62803269
2094531,66.2378308
2109461,63.86152395
2124431,59.33145862
2139389,67.74367067
2154368,76.69026647
2169323,61.74677283
2184300,58.88178298
2199299,69.4465695
2214278,69.51849715
2229274,69.03880984
2244263,63.70258324
2259227,58.80754621
2274173,62.68341005
2289162,57.52909451
2304114,10.6238888
2319535,81.26912145
2335910,65.92374723
2350933,79.940183
2365918,76.25365839
2380899,73.83092617
2395948,74.4014319
2410971,79.9506623
2426061,70.24201478
2441144,61.80219931
2456238,71.06992955
2471397,67.58017014
2486410,67.41984731
2501431,82.81227046
2516520,19.90060164
2532228,66.04986356
2547439,63.55659049
2562580,73.38112017
2577762,62.13764174
2592881,71.80171045
2608018,75.08005749
2623116,65.30135972
2638131,61.45194186
2653115,71.72518724
2668317,63.08254933
2683311,62.62795915
2698291,79.00798981
2713458,79.04718123
2728861,75.58064321
2744957,43.26476355
2765916,51.00902209
2788993,-33.22070072
2811392,57.06255503
2826924,62.37294731
2845468,61.95490411
2863863,-102.8502665
2890246,-102.6275566
2916865,25.57010348
2939411,-52.86213043
2966482,-51.53743525
2993837,-9.806284174
3020813,48.92667674
3049796,-9.762500503
3071620,-6.267949153
3100214,6.448560884
3135740,-885.8902889
3335540,-672.7437297
3535340,-251.6253293
3735140,-0.361415956
3934940,-0.474413298
4134740,-0.51959678
4334540,-0.184447534
4534340,-0.418354401
4734140,-0.170768463
4933940,-0.220660559
5133740,-0.056459515
5333540,-0.592555927
5533340,-0.401344801
5733140,-0.685608703
5932940,-0.597802685
6132740,-0.512643199
6332540,-0.420691968
6532340,-0.339200914
6732140,-0.721531809
6931940,-0.509519089
7131740,-0.337491332
7331540,-0.347099941
7531340,-0.355872047
7731140,-0.20168668
7930940,-0.263998508
8130740,-0.311820152
8330540,-0.339743019
8530340,-0.420475291
8730140,-1.14403572
8929940,-0.225772014
9129740,-0.685648989
9329540,-0.429426047
9529340,-0.390135362
9729140,-0.88378488
9928940,-0.689034283
10128740,-0.76753398
10328540,-0.137339354
10528340,-0.117337222
10728140,-0.393976893
10927940,-0.434448151
