# {"t_start": 1585585018.7087429, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-53.484264,999,1.160886
-52.196397,999,1.623409
-50.267475,999,2.164453
-53.220349,999,2.599379
-52.758762,999,3.079277
-50.489273,999,3.558115
-51.135247,999,4.041807
-49.176155,999,4.471535
-52.673511,999,4.950851
-50.069018,999,5.378439
-52.238636,999,5.85345
-51.856684,999,6.284376
-51.0621,999,6.762164
-50.398885,999,7.193654
-51.596228,999,7.669705
-53.493761,999,8.100441
-52.05976,999,8.574676
-50.912658,999,9.004175
-49.551191,999,9.485639
-48.235094,999,9.914297
-49.67189,999,10.392698
-50.641839,999,10.820142
71.224018,554,11.102403
-52.079962,999,11.53274
-52.758187,999,11.962947
-52.661045,999,12.438136
55.189623,833,12.798342
-50.916387,999,13.276244
60.649071,747,13.59699
-53.706302,999,14.07027
-53.392114,999,14.50038
-53.662134,999,14.978533
-54.218753,999,15.40766
-52.52624,999,15.884032
-54.998144,999,16.317013
-54.610372,999,16.792473
-54.83379,999,17.222632
-53.230985,999,17.698993
-54.089141,999,18.129161
-55.835597,999,18.612223
-56.299993,999,19.04262
-57.083489,999,19.522877
-57.414685,999,19.950608
57.886559,732,20.264079
-57.648626,999,20.739301
67.499656,595,20.995821
-55.72919,999,21.480639
-57.246079,999,21.908876
-55.361631,999,22.384299
-55.513165,999,22.81457
-57.02097,999,23.295733
-58.233675,999,23.725926
-57.483462,999,24.201193
-54.888677,999,24.636201
-52.918722,999,25.113533
55.513933,845,25.475319
-52.305077,999,25.903563
-52.595802,999,26.381671
-51.756413,999,26.811404
-51.913688,999,27.287598
-53.501462,999,27.717947
-52.879063,999,28.19914
-51.80593,999,28.629339
-52.538589,999,29.109426
63.29497,717,29.417171
-50.191659,999,29.892601
-51.427875,999,30.321407
-51.085345,999,30.798482
-49.557531,999,31.22536
-51.08426,999,31.782371
-50.70419,999,32.284581
57.463872,866,32.805724
-49.070437,999,33.428529
-47.345803,999,34.034522
-47.179396,999,34.557278
-49.315564,999,35.104411
-48.561194,999,35.532859
-49.697996,999,36.011401
-49.525714,999,36.439766
-50.713264,999,36.870064
-47.535333,999,37.348791
-48.438958,999,37.779628
-50.489438,999,38.260724
-50.20554,999,38.691893
-50.450949,999,39.16942
-49.069759,999,39.600181
-50.216014,999,40.077816
-49.712678,999,40.50798
-49.211859,999,40.984157
-48.634307,999,41.41858
-47.77851,999,41.896951
-48.79053,999,42.330229
-47.115153,999,42.805148
-47.749853,999,43.24015
-47.840337,999,43.716445
-48.681502,999,44.145094
-47.589498,999,44.621239
-46.61891,999,45.050149
-45.740888,999,45.527214
-45.955905,999,45.957682
-46.999559,999,46.434495
-47.753211,999,46.864794
-47.53799,999,47.345236
-43.215004,999,47.775572
-47.054228,999,48.256393
-45.974506,999,48.686052
-44.574084,999,49.163956
-42.789264,999,49.59435
-45.705577,999,50.07342
-44.766074,999,50.503621
-44.250424,999,50.981644
-45.715638,999,51.411317
-45.509861,999,51.88828
-45.767868,999,52.314897
-44.623501,999,52.795625
-45.072594,999,53.223479
-43.176651,999,53.713857
-43.374633,999,54.154569
-43.413156,999,54.632002
-44.425557,999,55.063865
-43.933229,999,55.494417
-41.825073,999,55.971349
-43.784022,999,56.402143
-45.199614,999,56.884597
-43.97363,999,57.314856
-43.406105,999,57.796897
-40.412432,999,58.240933
-42.415011,999,58.710731
-43.971808,999,59.158727
-43.000905,999,59.645473
-44.609254,999,60.0767
-43.233325,999,60.555633
-43.585841,999,60.986041
-42.794024,999,61.499401
-43.299126,999,61.928729
-40.789084,999,62.405135
-43.186127,999,62.849932
-41.020499,999,63.347107
-40.73739,999,63.79342
-42.867744,999,64.269745
-39.263387,999,64.699937
-42.310535,999,65.183733
-43.541722,999,65.61218
-42.161982,999,66.091948
-43.9553,999,66.520467
-42.382357,999,66.999606
-41.869582,999,67.428717
-41.830757,999,67.9059
-40.986505,999,68.337311
-42.117798,999,68.814709
-42.24773,999,69.246505
-39.627041,999,69.724241
-41.466827,999,70.154408
-41.164865,999,70.630995
-40.63172,999,71.059694
-40.592951,999,71.537764
-40.002236,999,71.968158
-41.281007,999,72.446214
-40.668042,999,72.876819
-39.912067,999,73.355084
-38.589587,999,73.783931
-40.098724,999,74.213519
-39.753397,999,74.689759
-40.311309,999,75.119429
-38.404037,999,75.601191
-38.563646,999,76.036583
-40.596591,999,76.517398
-37.975452,999,76.945311
-40.901643,999,77.423442
-40.436485,999,77.853163
-37.986771,999,78.327182
-38.026829,999,78.755936
-39.775059,999,79.23457
-38.049359,999,79.665485
-39.151565,999,80.143584
-39.904731,999,80.573319
-36.757169,999,81.051501
-37.871083,999,81.480619
-37.6496,999,81.95544
-39.773031,999,82.385175
-37.724842,999,82.859999
-37.853054,999,83.291955
-38.092544,999,83.76743
-38.243515,999,84.197785
-37.927223,999,84.690478
-36.290653,999,85.120782
-38.450415,999,85.599742
-39.619245,999,86.029466
-36.211324,999,86.505486
-36.811653,999,86.93582
-36.690112,999,87.413391
-36.182601,999,87.84339
-36.046963,999,88.322328
-35.747513,999,88.749094
-34.193378,999,89.223753
-36.731262,999,89.668244
-36.454085,999,90.146716
-36.809818,999,90.575595
-36.679671,999,91.052371
-34.668608,999,91.51127
-34.969306,999,91.989147
-36.579828,999,92.420279
-34.823203,999,92.849871
-35.459855,999,93.336441
-33.823585,999,93.808827
-36.397021,999,94.290579
-35.252775,999,94.720284
-33.578418,999,95.201343
-34.359094,999,95.629623
-34.334381,999,96.122061
-35.261421,999,96.550374
-33.523376,999,97.027437
-33.381548,999,97.457566
-34.124796,999,97.93504
-36.121335,999,98.36569
-32.879359,999,98.847106
-31.748524,999,99.277534
-33.93915,999,99.754234
-34.160817,999,100.185501
-34.3985,999,100.659542
-33.886199,999,101.089713
-34.347152,999,101.566382
-31.320418,999,101.997161
-34.930957,999,102.476765
-32.471133,999,102.906426
-34.243857,999,103.391398
-31.33967,999,103.818605
-35.156233,999,104.299207
-30.260651,999,104.727555
-34.149473,999,105.206503
-32.190932,999,105.636673
-33.432557,999,106.113653
-31.286004,999,106.544004
-33.098018,999,107.018809
-32.61607,999,107.448853
-31.564342,999,107.928109
-33.291423,999,108.358633
-33.2623,999,108.833128
-32.508222,999,109.264265
-32.47252,999,109.74072
-31.181078,999,110.171803
-32.139729,999,110.64731
-31.955466,999,111.077736
-31.580864,999,111.509439
-31.542454,999,111.985749
-30.558338,999,112.416147
-32.72032,999,112.89644
-29.073986,999,113.326096
-30.265648,999,113.807341
-31.495562,999,114.2384
-29.919587,999,114.716326
-29.769577,999,115.147696
-29.643278,999,115.621818
-31.603937,999,116.051155
-28.400206,999,116.526779
-29.941816,999,116.956204
-29.950486,999,117.434407
-27.962837,999,117.862937
-29.223054,999,118.34015
-30.358103,999,118.761042
-28.65873,999,119.245507
-28.739075,999,119.677922
-29.022061,999,120.156235
-30.089367,999,120.585431
-29.366287,999,121.062039
-29.09419,999,121.53381
-28.076621,999,122.015208
-27.339493,999,122.445004
-29.028618,999,122.922398
-29.942202,999,123.383865
-29.770254,999,123.879985
-27.791946,999,124.311581
-27.447022,999,124.789076
-26.768813,999,125.219928
-27.92444,999,125.697056
-28.91924,999,126.126472
-30.655788,999,126.604343
-28.90178,999,127.034252
-28.88145,999,127.511768
-27.419994,999,127.941576
-28.626625,999,128.418003
-28.592502,999,128.845989
-28.254127,999,129.323703
-25.850707,999,129.750721
-25.344557,999,130.180657
-27.442705,999,130.654948
-27.587559,999,131.085798
-27.253261,999,131.569143
-27.746696,999,131.998942
-26.131632,999,132.476544
-26.044453,999,132.905396
-26.44702,999,133.394537
-26.137204,999,133.824898
-24.379302,999,134.302229
-25.816737,999,134.731045
-26.070961,999,135.208846
-26.096447,999,135.637767
-25.710059,999,136.114314
-24.509811,999,136.545939
-24.728179,999,137.023452
-25.391098,999,137.455376
-25.539167,999,137.930487
-23.619961,999,138.360427
-24.050489,999,138.835929
-23.543594,999,139.267051
-25.709411,999,139.74227
-23.693524,999,140.171943
-24.444774,999,140.651871
-23.940239,999,141.083018
-23.473826,999,141.562973
-24.552473,999,141.992936
-21.866876,999,142.471774
-23.680343,999,142.899822
-25.835721,999,143.378364
-23.307688,999,143.80794
-25.041208,999,144.284419
-23.104818,999,144.71984
-22.192521,999,145.195214
-23.322212,999,145.622283
-22.537369,999,146.098635
-24.061194,999,146.528549
-23.079934,999,147.006841
-22.948968,999,147.43479
-21.166728,999,147.9112
-21.988564,999,148.340418
-23.584413,999,148.762914
-21.810134,999,149.244892
-22.962662,999,149.674226
-22.419703,999,150.157105
-22.573983,999,150.586651
-21.612634,999,151.064508
-21.715715,999,151.533374
-20.20825,999,152.008575
-23.680674,999,152.438612
-21.295937,999,152.913112
-21.807303,999,153.360611
-21.251051,999,153.868846
-21.150329,999,154.299657
-21.084044,999,154.776306
-22.350085,999,155.207264
-20.744378,999,155.683544
-21.17376,999,156.11236
-22.93963,999,156.589661
-20.737302,999,157.019913
-20.70415,999,157.498053
-20.094605,999,157.92783
-22.398079,999,158.402675
-22.384446,999,158.832921
-20.579284,999,159.313676
-21.184405,999,159.74262
-19.940534,999,160.22055
-19.898255,999,160.649928
-20.218376,999,161.129934
-20.157716,999,161.559279
-19.554997,999,162.035505
-19.907698,999,162.465275
-19.782963,999,162.941507
-20.476972,999,163.371954
-19.751902,999,163.849021
-20.628004,999,164.279745
-19.128728,999,164.75914
-20.346364,999,165.190576
-20.518077,999,165.66802
-17.888302,999,166.098761
-19.797952,999,166.577151
-19.455174,999,167.008011
-18.668064,999,167.43826
-18.412123,999,167.917472
-19.173147,999,168.349603
-18.536226,999,168.830322
-19.689531,999,169.259762
-19.026324,999,169.738368
-18.950958,999,170.168553
-17.87863,999,170.652268
-19.524134,999,171.082096
-19.101587,999,171.558426
-17.928973,999,171.988513
-19.099994,999,172.466076
-18.066108,999,172.897903
-20.034233,999,173.378465
-17.965825,999,173.809
-18.909359,999,174.286696
-18.098884,999,174.715163
-17.706472,999,175.193424
-18.272321,999,175.623893
-16.559216,999,176.102318
-17.41025,999,176.533615
-17.37481,999,177.009614
-16.780502,999,177.438728
-17.663548,999,177.923266
-17.915518,999,178.351996
-17.561482,999,178.822122
-16.746424,999,179.257492
-17.327053,999,179.732706
-17.394855,999,180.163267
-18.325498,999,180.637036
-18.379081,999,181.068486
-17.343923,999,181.584808
-17.120312,999,182.015347
-17.306552,999,182.491008
-17.358848,999,182.920689
-16.780671,999,183.448827
-15.946572,999,183.880565
-16.290644,999,184.358001
-16.64897,999,184.788283
-16.970581,999,185.266284
-16.147129,999,185.69547
-15.600618,999,186.125609
-15.184494,999,186.604474
-17.140727,999,187.034888
-15.260813,999,187.515706
-15.433483,999,187.944513
-15.216777,999,188.423306
-15.498767,999,188.853089
-15.471849,999,189.334043
-15.514305,999,189.764334
-13.781702,999,190.242512
-15.35656,999,190.671124
-15.721628,999,191.149041
-15.043568,999,191.581465
-16.292037,999,192.057422
-15.448123,999,192.487544
-15.498215,999,192.965619
-14.350419,999,193.398739
-15.630891,999,193.87696
-14.895157,999,194.309855
-15.024358,999,194.788833
-14.4075,999,195.218686
-16.080677,999,195.692311
-15.261266,999,196.122376
-14.627821,999,196.602163
-14.561565,999,197.030369
-14.907838,999,197.508694
-13.962644,999,197.938259
-14.501855,999,198.414688
-14.276837,999,198.844719
-14.335348,999,199.322583
-14.233218,999,199.752836
-14.183531,999,200.230445
-13.501274,999,200.657761
-13.098296,999,201.136924
-14.068924,999,201.565563
-14.510247,999,202.044596
-13.694573,999,202.476409
-14.593917,999,202.95387
-13.067282,999,203.384489
-13.164956,999,203.861141
-13.237153,999,204.291214
-13.483816,999,204.726447
-13.502941,999,205.203976
-13.366818,999,205.631535
-12.713322,999,206.113242
-13.250103,999,206.541197
-12.379872,999,207.021034
-13.321449,999,207.452874
-12.612759,999,207.93426
-12.429368,999,208.364618
-12.542392,999,208.835667
-12.717618,999,209.273067
-12.800692,999,209.763752
-13.284608,999,210.194672
-13.413368,999,210.672986
-12.634346,999,211.102565
-13.631798,999,211.619626
-12.369594,999,212.050145
-12.580238,999,212.524403
-12.348143,999,212.96758
-12.616399,999,213.479907
-12.686698,999,213.907635
-12.009731,999,214.385286
-12.46069,999,214.815126
-12.257115,999,215.29888
-12.119795,999,215.727893
-12.377851,999,216.207544
-12.863642,999,216.636052
-12.293449,999,217.113948
-11.385883,999,217.541674
-11.607662,999,218.016897
-12.242272,999,218.445749
-11.451403,999,218.923942
-10.956948,999,219.353943
-11.73008,999,219.831842
-12.522553,999,220.263448
-11.733839,999,220.738259
-11.180458,999,221.167689
-11.369605,999,221.646358
-11.695991,999,222.074117
-11.574759,999,222.551318
-12.26918,999,222.980651
-11.239891,999,223.411893
-11.074783,999,223.891404
-11.101683,999,224.323199
-10.989426,999,224.811845
-11.633794,999,225.241042
-9.861869,999,225.717049
-10.986941,999,226.148516
-10.719233,999,226.624184
-10.518018,999,227.054451
-10.947966,999,227.531747
-10.714381,999,227.968632
-10.819578,999,228.44925
-10.903091,999,228.880022
-11.304409,999,229.356642
-10.852159,999,229.785764
-11.110823,999,230.263684
-9.546811,999,230.693258
-10.659884,999,231.17132
-10.528312,999,231.60257
-11.083268,999,232.076166
-10.629544,999,232.506946
-11.039817,999,232.986614
-9.480327,999,233.416091
-10.79089,999,233.900284
-9.297451,999,234.355873
-9.729565,999,234.836612
-10.728222,999,235.257883
-10.187319,999,235.732575
-10.016334,999,236.155312
-9.914878,999,236.630137
