eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
999,-52.8403305,1984,1.20E-05,0,1.4166842,-0.00057157,0.31151402,-0.037576914,1,2048,1.032143921,2048
999,-51.3437724,2201,0.000407768,0.000488281,1.3810284,-0.001099923,0.22997439,-0.302900553,10,20480,9.454735475,20480
977.9512195,-43.90111246,2192,0.002121324,0.016845703,1.3592763,-0.001014821,0.17959514,-0.557399631,20,40960,18.74028981,40960
972.2063492,-42.25944871,2189,2.16E-05,0,1.3392066,4.51E-05,0.24702513,-0.495840549,30,61440,28.03979107,61440
973.9642857,-41.50302992,2193,0.000606785,0.000488281,1.3123654,-0.000556991,0.107540555,-0.227842689,40,81920,38.06221724,81920
977.97,-42.33748444,2193,6.60E-05,0,1.2702427,-0.00023738,0.070599034,0.278522968,50,102400,47.36292939,102400
982.42,-42.17022805,2192,0.000394788,0,1.2222317,-0.000179284,0.07277172,-0.051140904,60,122880,56.68576192,122880
989.27,-43.14181862,2200,0.002056939,0.010742188,1.1691201,-0.001236855,0.07504392,-0.056476951,70,143360,66.10568015,143360
997.67,-43.79109352,2182,6.23E-05,0,1.1183774,-0.000393066,0.06328382,0.005246401,80,163840,75.40737403,163840
999,-42.66101877,2191,0.000809836,0.000488281,1.0694658,-0.00045912,0.058377244,-0.032881379,90,184320,84.70525243,184320
999,-40.29959572,2194,4.82E-05,0,1.0192249,-0.000433395,0.052562058,-0.023729324,100,204800,94.09094636,204800
999,-38.23184774,2201,0.003541403,0.03942871,0.9657712,-0.002442038,0.04219874,0.063735187,110,225280,103.4034583,225280
999,-36.06399994,2196,0.003955332,0.041992188,0.9149392,-0.002413287,0.03988618,0.013860404,120,245760,112.6973464,245760
999,-33.90328377,2194,0.000353476,0,0.8621178,-4.00E-05,0.032088477,-0.036290765,130,266240,122.0310798,266240
999,-31.73782523,2195,0.000232187,0,0.80829936,-0.000473556,0.033304464,-0.018458009,140,286720,131.3689778,286720
999,-29.63527836,2197,0.000214109,0,0.75288963,-0.000642766,0.025095904,-0.004178286,150,307200,140.6685094,307200
999,-27.43060224,2197,0.001516987,0.010620117,0.7017427,-0.001498345,0.020608254,-0.000290036,160,327680,149.9561898,327680
999,-25.33920452,2200,0.000216142,0,0.6520009,-0.000714629,0.01949581,-0.010594964,170,348160,159.3274262,348160
999,-23.29951778,2199,9.48E-05,0,0.60356784,-0.000388616,0.017128158,-0.004281878,180,368640,168.629477,368640
999,-21.40634127,2199,0.000802224,0.000976563,0.553573,-0.000714973,0.013909405,-0.005079865,190,389120,177.9347741,389120
999,-19.73181705,2202,0.002642306,0.030029297,0.5067259,-0.002811472,0.011560547,0.050533414,200,409600,187.3138227,409600
999,-18.17918378,2203,5.18E-05,0,0.4594512,-0.000424567,0.010376278,0.016914725,210,430080,196.6146966,430080
999,-16.61748394,2198,4.13E-05,0,0.41281313,-0.000305214,0.007759838,-0.010442615,220,450560,205.9117284,450560
999,-15.25113845,2201,0.000391213,0,0.3690946,-0.00039175,0.007358972,-0.009747863,230,471040,215.3123128,471040
999,-13.92483674,2182,0.002706759,0.026977539,0.32332867,-0.001890303,0.005887165,0.014861226,240,491520,224.6102024,491520
999,-12.72929131,2132,0.000736604,0.002685547,0.28055838,-0.000977127,0.005134187,0.005042613,250,512000,233.9419478,512000
999,-11.59825655,2087,0.002640324,0.020629883,0.23345672,-0.001884472,0.004235894,0.005361438,260,532480,243.3071539,532480
999,-10.65192875,2181,0.001532225,0.006225586,0.1906142,-0.000925041,0.003210496,0.012683749,270,552960,252.6483231,552960
999,-9.73196139,2193,0.000478569,0.00012207,0.14948595,-0.000417929,0.002686752,0.004238486,280,573440,261.9765499,573440
999,-8.95489043,2115,0.003734895,0.04260254,0.1068082,-0.002727332,0.00247028,-0.005966306,290,593920,271.3587125,593920
999,-8.22539125,2162,0.001428825,0.00390625,0.0646918,-0.000895046,0.002211625,0.009766579,300,614400,280.7446429,614400
999,-7.59908141,2178,0.002521174,0.016235352,0.021628112,-0.001207915,0.001937765,0.002744734,310,634880,290.0778118,634880
999,-7.00267442,2179,0.002585563,0.01574707,-0.022330135,-0.001192713,0.001511791,0.00064975,320,655360,299.4242083,655360
999,-6.4208926,2176,0.005399429,0.0748291,-0.06889722,-0.00438363,0.001126107,0.024311066,330,675840,308.8531835,675840
999,-5.87794679,2192,0.002019067,0.009399414,-0.11245841,-0.000977247,0.001095467,-0.061345577,340,696320,318.1885451,696320
999,-5.37076639,2185,4.31E-05,0,-0.15311326,-0.000303671,0.000851661,0.008089542,350,716800,327.5240255,716800
999,-4.90853386,2181,0.000158912,0,-0.1970793,-0.000382305,0.000799795,0.01778084,360,737280,336.9406524,737280
999,-4.50420085,2206,3.87E-05,0,-0.23955889,-0.000480854,0.000627851,0.020149589,370,757760,346.2613699,757760
999,-4.14850102,2203,0.000767323,0.000488281,-0.28109735,-0.001035202,0.000508203,-0.007294893,380,778240,355.5927179,778240
999,-3.81046643,2188,0.002081224,0.010986328,-0.32393825,-0.000972744,0.000403968,-0.003290415,390,798720,365.8103803,798720
999,-3.50441889,2182,0.000276365,0,-0.37033463,0.000166326,0.000370663,-0.014170051,400,819200,375.149171,819200
999,-3.22670719,2157,0.000793086,0.000610352,-0.41453996,-0.00099261,0.00033116,-0.024572968,410,839680,384.5106849,839680
999,-2.95766574,2174,0.001613069,0.006835938,-0.45491448,-0.001044493,0.000293599,0.027381241,420,860160,393.9434219,860160
999,-2.71952634,2194,0.000660461,0,-0.49558425,-0.00058591,0.000229072,-0.003837347,430,880640,403.2909891,880640
999,-2.49172327,2154,0.002718157,0.029541016,-0.53826356,-0.002349984,0.000202192,-0.019408226,440,901120,412.614,901120
999,-2.28623065,2196,0.000210268,0,-0.5837564,-0.0003759,0.000163987,-0.008315802,450,921600,422.0146766,921600
999,-2.08985482,2102,0.001146481,0.001220703,-0.6279032,-0.000560186,0.000140255,-0.00797224,460,942080,431.6286076,942080
999,-1.9097712,2096,0.001645694,0.003173828,-0.6737226,-0.000541631,0.000116217,0.005720973,470,962560,441.2734678,962560
999,-1.75060923,2071,0.00087017,0.000976563,-0.71404517,-0.000588304,9.43E-05,0.001302361,480,983040,451.0345037,983040
