Total Timesteps,Average Reward
199800,-7.49E+00
399517,-0.000261404
599317,-0.000687636
799117,-0.000251767
998917,-0.000194286
1198717,-0.000567049
1398517,-0.001483509
1598317,-4.83E-05
1798117,-0.004314649
1997664,-0.000760781
2196769,-0.000608209
2393358,-0.203837284
2573348,98.9350624
2708955,98.42644924
2832209,98.48031684
2940420,98.39386308
3040886,98.73767759
3138214,98.89079384
3227074,98.18696711
3317102,97.77628057
3404426,97.64523793
3490235,98.10441757
3576827,97.49875311
3658490,97.84045509
3738305,96.9610529
3815136,97.0817297
3889529,98.45410371
3966288,97.88877865
4041572,98.27111675
4114428,97.92749816
4184831,98.3469741
4254197,95.84595758
4321255,96.64866031
4392255,97.30290436
4459877,97.55636849
4523377,97.77022416
4589478,97.52850256
4654366,97.49069308
4719154,95.17274552
4783423,96.20630453
4848448,96.97633924
4913429,96.90598194
4978720,95.31706644
5041755,96.32447172
5105810,96.82118615
5171770,96.8801284
5234204,98.18730952
5298045,95.58172456
5362537,96.26569143
5427381,95.596146
5493673,97.75849523
5560019,98.27076841
5623711,98.08390264
5686207,95.62482951
5750200,96.23044011
5813406,97.85723399
5875043,97.12566823
5939496,97.92070439
6003596,96.84843024
6064663,95.03163394
6126425,96.63031429
6189365,98.16466204
6251593,96.39440514
6312852,96.08519503
6374510,94.60068669
6433388,98.40210834
6492558,97.97358713
6550820,97.30634221
6610118,96.99173905
6669466,96.60424285
6726328,96.77301811
6783772,94.70583765
6842761,97.32990112
6900662,96.14076999
6959207,94.72615579
7015814,95.56866735
7069406,94.07838564
7123586,97.21928503
7176421,98.08893179
7231865,95.47148105
7286902,97.57388988
7341917,94.99527587
7394792,95.04943238
7448646,93.21658305
7500992,97.99329827
7552906,97.54158962
7604333,95.70347803
7655025,97.36647611
7703573,96.8355862
7753970,96.93107488
7803129,97.43821533
7853530,97.1552612
7902609,94.28483315
7951290,95.28772427
8000322,92.78464619
8049192,93.51040251
8098840,95.52860993
8146640,94.691537
8192999,96.90801857
8239687,94.52880654
8289639,97.01891812
8337048,91.6638431
8385404,95.12066728
8432476,92.84771364
8481998,95.75296546
8530305,97.26039678
8577813,92.6185337
8625893,95.17583193
8671797,95.01172273
8718006,94.11721693
8764856,96.13845305
8812731,97.19619458
8860094,92.95691573
8906629,95.01159263
8953577,94.88202328
8998205,95.38031269
9045821,96.91509335
9089916,97.56788941
9137158,95.42921401
9185482,94.50192696
9233209,97.31376261
9280287,95.52282187
9328927,96.49702927
9374208,96.73956496
9419389,94.84361603
9465634,91.14832783
9512507,97.74723982
9559242,96.01590165
9603620,95.25969368
9648389,95.55055139
9695386,93.63481303
9742684,95.81037313
9786430,94.1340997
9831872,94.86780409
9877003,93.341038
9922166,95.28785971
9967933,94.98231979
10012651,91.94688378
10058569,94.38067471
10105361,93.15864823
10150469,94.58349027
10196762,93.87667134
10240927,92.84820898
10283030,97.44653033
10326644,93.70002931
10372650,96.57173468
10416603,97.16777422
10461215,95.50881539
10506748,93.84765102
10551041,93.9411462
10595423,95.83708318
10636872,93.47955155
10680174,94.0686149
10723225,94.08214581
10765708,94.62056264
10809263,94.12266893
10852484,92.77206017
10896505,96.46751473
10939820,96.4242123
10981663,96.51138416
11025213,89.74700088
11070646,94.07061642
11115402,90.62918862
11159138,94.16673118
11205031,90.3466304
11251252,93.77046757
11295002,96.02850348
11339490,93.29040792
11384196,94.12526025
11426621,90.84610241
11470597,91.15804292
11514952,94.73392737
11556584,94.70922107
11597776,94.59766145
11639833,91.90616058
11682494,93.5162913
11725697,94.31033469
11765983,90.42541502
11806230,93.33037979
11849345,96.77755725
11891172,96.36626071
11932772,89.82566745
11974328,96.5589499
12016463,96.00379416
12058519,91.83717901
12099904,92.32805946
12142473,97.10948649
12184608,96.68702511
12225423,93.13378284
12267440,93.59810342
12308294,91.2472399
12347569,91.92817033
12388685,94.9863461
12430298,93.4893921
12472751,96.39101136
12514762,94.54622217
12557636,97.67859898
12600942,97.16288058
12643328,95.2602887
12684883,97.307887
