Total Timesteps,Average Reward
199800,-7.42E+00
399323,-0.00026319
599123,-0.000414628
798923,-0.000324456
998723,-0.001705467
1198523,-0.000686426
1398323,-0.001292515
1598123,-0.001302978
1797923,-0.00327042
1997478,-0.001776346
2196591,-0.035879584
2393409,33.00769926
2575259,98.80580424
2710829,98.29079721
2829461,98.38540707
2937253,98.46839694
3035965,98.32031059
3132227,97.6991248
3221040,97.98212258
3312405,97.91104804
3400804,97.87544487
3486187,97.93524539
3573114,98.16283974
3655764,97.71367283
3737116,97.28119758
3813178,98.07622281
3886164,98.2024241
3963414,97.67096373
4038011,97.40588984
4111364,97.87001216
4182634,97.19806365
4252473,98.10991045
4319896,97.13792589
4390852,97.39319123
4458126,96.93024849
4521805,96.96098316
4587591,97.05565913
4652975,96.59052574
4717977,97.01629775
4784100,96.34177708
4849188,96.88613841
4914089,96.39326177
4979952,97.23171466
5042396,96.75011048
5104747,96.79902833
5168904,97.32660405
5231796,97.33898263
5296024,97.79699632
5360106,97.17390766
5425232,97.38167957
5492280,96.67568437
5559767,97.23996773
5623698,97.81487058
5686918,96.57613255
5752320,97.15680683
5817175,97.75663441
5880535,97.52403413
5946993,96.25824248
6013110,96.9766905
6075806,96.55569512
6138885,96.94590653
6203892,96.51250863
6267628,96.85629747
6331048,96.60415069
6394494,95.74327636
6455764,95.47906856
6516927,96.05409476
6576752,97.05014655
6636984,97.26597749
6697308,96.60197148
6755109,96.26700639
6813573,95.60522007
6873702,96.57970733
6932419,96.31135642
6992174,96.84244719
7049911,95.66616856
7105342,95.66668643
7161048,96.99168571
7215969,94.43815243
7272139,96.01599161
7328313,96.41724438
7384234,96.01854962
7437848,95.37451834
7492644,94.82394639
7545365,98.16501316
7597610,95.61515692
7649973,95.98836802
7701929,96.54045584
7751777,96.69246418
7803010,96.01532872
7852891,95.24026724
7904482,95.18269963
7955153,96.88776418
8005029,95.60371315
8054565,96.11201009
8104576,94.31454915
8155781,95.29941336
8204936,94.49403883
8253456,95.95088889
8301281,95.39416796
8351810,97.1151789
8399981,92.29292229
8448897,95.65204028
8496749,94.99969257
8547201,94.39126345
8595595,96.18399818
8643776,93.92921138
8692475,94.67548279
8738229,95.72018003
8785156,94.26683224
8833001,95.52640561
8882365,96.02460415
8930219,95.44844505
8978464,96.42874244
9026534,95.26842399
9072756,95.43887893
9120630,96.22124855
9165787,95.36874531
9213959,95.7105386
9262548,94.5589961
9310038,96.32147074
9358046,95.47102518
9407416,95.72950654
9453355,96.47869242
9498856,96.41853884
9544940,93.67706738
9592056,97.14417838
9639370,95.11838472
9684631,94.06681333
9729726,95.37918498
9778098,93.39483989
9826319,95.55244883
9870848,95.69812858
9916716,94.7044651
9961999,93.79054202
10008449,94.70451675
10054687,94.29607738
10099711,95.01567475
10145638,94.97533143
10192622,94.35335762
10238233,95.30167067
10284374,94.79575921
10328566,95.18772948
10370401,95.37549978
10414212,95.12219422
10460140,95.96859793
10503854,94.72600308
10548771,94.95907302
10594382,94.58539103
10638475,93.55611105
10682797,95.92268415
10724027,94.40723154
10766403,95.05653905
10809284,94.54963818
10851983,94.3601302
10895801,93.1252066
10938485,94.05580288
10982407,94.01309123
11025394,93.16870186
11067243,93.68106698
11111126,94.03799776
11156832,96.37954541
11201166,94.22452529
11245188,93.04011883
11291039,93.13028823
11338065,94.71825255
11381437,95.55722057
11427207,94.05899549
11471598,94.76237905
11514635,95.03512541
11558341,92.1231288
11602352,94.48932291
11643343,96.56170379
11684854,92.60651846
11727687,93.54381102
11770672,93.2606839
11814380,94.77847286
11855199,92.1077694
11895716,95.1607576
11939433,96.09119072
11981736,94.40199128
12023384,94.49383512
12065914,94.95925751
12108172,95.42664918
12150486,92.67472678
12192424,93.6014368
12235430,94.21918681
12277593,96.69312116
12318909,93.47405027
12360595,93.96210458
12401588,91.85058394
12441071,94.54921123
12482419,95.19759207
12523726,93.64340879
12565842,95.46742443
12607869,94.49000128
12651511,91.39094942
12694277,95.76117789
12737037,93.83796472
12778532,94.48302448
