Time	Iteration	Evaluations	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
106.20182776451111	1	10	-1159.6934011533663	251.80464302918216	-518.325497558255	-1477.1646561145417	40000
117.3884117603302	2	10	-1450.9059956976096	380.7494449736922	-493.52099213033495	-1812.7791748657394	80000
128.45851755142212	3	10	-1142.3649191758573	436.9369509055897	-503.40043864323536	-1859.3342044211618	120000
139.79650354385376	4	10	-1162.8194398872508	361.5680693436513	-503.21234641432164	-1553.462746788521	160000
153.64225339889526	5	10	-1328.0780577387243	333.4107768199187	-748.292496080105	-1777.443293451871	200000
165.9907512664795	6	10	-984.658034826811	337.3965670819551	-480.0342398974591	-1463.1051420913552	240000
178.0854606628418	7	10	-1344.9892791520083	288.3657644326577	-864.754025938391	-1785.0836581497736	280000
188.63783645629883	8	10	-1232.4849432917006	394.4726065394204	-503.9367392494167	-1590.4252835777343	320000
199.2650601863861	9	10	-1026.9709767085835	453.4225882005603	-550.7217865880746	-1895.1974184905048	360000
210.24069690704346	10	10	-1214.974519661219	391.7241339395786	-627.126063738889	-1825.6846869008568	400000
220.2929127216339	11	10	-1033.0985730391128	320.8590759554328	-620.3691723324342	-1779.697742466821	440000
231.46610283851624	12	10	-1221.316128915355	398.16471694587966	-629.310122174105	-1829.964070016137	480000
243.3342080116272	13	10	-1113.8139963552812	274.42917924860444	-628.1539352176567	-1481.765721334398	520000
256.12996435165405	14	10	-1022.2891757061859	309.14399530981876	-557.2931081035657	-1602.625010661445	560000
266.86249828338623	15	10	-1098.6174328249294	263.3697209427531	-605.5077931510133	-1607.9409123103817	600000
276.97106409072876	16	10	-1068.4290167941203	346.5917269245619	-509.37830568887074	-1549.145372839503	640000
288.33064103126526	17	10	-1415.059654040669	259.22783440001774	-969.6276657592789	-1781.4225155864674	680000
299.05685329437256	18	10	-1161.305217746738	283.7762352707001	-626.8632047019369	-1579.4504522706272	720000
310.501473903656	19	10	-1287.6625212994536	352.5517732153779	-749.0490674424663	-1863.3853448333493	760000
321.08335995674133	20	10	-1209.7295369802791	261.2623408005153	-628.6969735522609	-1511.86833751399	800000
332.5511784553528	21	10	-1159.7610856418653	474.65975385658885	-624.5144715300012	-1796.6284075914118	840000
345.8685185909271	22	10	-1226.9167161779988	319.9677318129368	-628.818141742034	-1613.4805827329224	880000
358.5761296749115	23	10	-1249.6285095446817	311.1151372423704	-630.563347660911	-1664.8879480778257	920000
370.1302583217621	24	10	-1077.1499947745065	328.70846772672513	-627.224139692212	-1649.2296838088264	960000
380.8536615371704	25	10	-1370.8434852959488	302.3706211769053	-863.1743961929875	-1877.7815050242377	1000000
391.755784034729	26	10	-1375.0375257820074	368.29172922748137	-839.8083407104889	-1809.8593981696094	1040000
402.3790102005005	27	10	-1121.993601938618	421.25010051438704	-517.7892682144184	-1822.0709161425686	1080000
412.583781003952	28	10	-1269.0875979761345	324.453026978057	-628.1635427180263	-1787.5812745704457	1120000
