# {"t_start": 1585597310.9387672, "env_id": "Pendulum-v0"} 
r,l,t
-1303.534519,200,1.097395
-1261.069683,200,1.208767
-1777.437564,200,1.359048
-1714.828634,200,1.479972
-1637.911344,200,1.593164
-1625.66631,200,1.687031
-1486.113007,200,1.792984
-1524.962888,200,1.908874
-1071.301164,200,2.001176
-1463.797814,200,2.097032
-1013.077375,200,2.597375
-1032.888653,200,2.69305
-1311.289868,200,2.798169
-761.512879,200,2.892191
-1833.596765,200,2.985555
-1075.564334,200,3.081747
-903.015413,200,3.174398
-1496.513493,200,3.269413
-775.150672,200,3.366666
-851.60327,200,3.460648
-1390.639139,200,3.952166
-1589.809933,200,4.056823
-1730.537717,200,4.182437
-1069.2583,200,4.341976
-871.107997,200,4.502202
-1282.888318,200,4.664387
-1582.462926,200,4.764114
-1100.142663,200,4.866755
-736.442569,200,4.965852
-1549.133741,200,5.064498
-1010.354656,200,5.510186
-968.72418,200,5.646513
-964.756444,200,5.753207
-1338.908948,200,5.857321
-996.459261,200,5.954396
-880.054258,200,6.050737
-1166.610144,200,6.147157
-965.151356,200,6.241785
-768.217015,200,6.339257
-1539.215944,200,6.439906
-968.463558,200,6.885867
-1145.183397,200,7.008911
-886.616392,200,7.152678
-841.48703,200,7.273814
-866.504934,200,7.368412
-1399.995463,200,7.466597
-1304.613174,200,7.569349
-1015.09887,200,7.68973
-1296.534098,200,7.789309
-900.793914,200,7.899923
-1074.468834,200,8.002038
-1121.465005,200,8.439788
-1151.928275,200,8.534213
-1437.764182,200,8.633204
-1797.310461,200,8.731427
-1501.0072,200,8.824173
-753.204671,200,8.928044
-1564.873612,200,9.024997
-1658.262894,200,9.125993
-1742.746484,200,9.263798
-1685.104508,200,9.381185
-1308.090965,200,9.831199
-879.118354,200,9.933092
-1607.604479,200,10.048322
-1170.98373,200,10.180226
-1145.892757,200,10.306828
-1240.876795,200,10.48258
-1039.407301,200,10.590742
-1530.857432,200,10.688429
-1020.907401,200,10.781741
-1449.049059,200,10.878094
-1016.435628,200,11.378266
-1189.615609,200,11.477332
-1588.9027,200,11.592992
-1071.624354,200,11.690736
-1161.954314,200,11.789912
-1379.346132,200,11.890386
-1460.448125,200,11.982862
-857.479229,200,12.077127
-744.461297,200,12.171937
-1289.090639,200,12.266811
-1348.073306,200,12.705899
-1010.391842,200,12.804749
-951.253173,200,12.913339
-1004.511882,200,13.0135
-960.866165,200,13.114698
-1013.46888,200,13.219413
-1502.034888,200,13.315272
-1436.959179,200,13.419469
-1070.564687,200,13.523058
-1035.5732,200,13.617357
-1346.230924,200,13.724138
-974.666017,200,14.173791
-871.971976,200,14.272984
-1186.906648,200,14.36909
-1041.685241,200,14.4657
-1069.371716,200,14.561028
-1092.701499,200,14.658982
-1422.369496,200,14.752999
-1427.466176,200,14.851978
-1464.265531,200,14.950922
-1382.27957,200,15.048385
-1067.638136,200,15.508526
-1519.43637,200,15.618689
-930.412721,200,15.730573
-1123.135824,200,15.830118
-974.29562,200,15.926645
-1078.911031,200,16.022425
-1082.071091,200,16.116545
-893.928003,200,16.211934
-969.146153,200,16.305892
-1445.035501,200,16.40174
-969.173011,200,16.818802
-1034.631081,200,16.920143
-1000.571636,200,17.016422
-999.280103,200,17.112227
-1497.006895,200,17.211872
-1801.191519,200,17.312326
-975.745115,200,17.409859
-1293.44225,200,17.507751
-1062.172396,200,17.604959
-1021.115152,200,17.701728
-1087.501827,200,18.249111
-1189.193396,200,18.343292
-1330.968411,200,18.435236
-1732.29056,200,18.529384
-1361.391762,200,18.623818
-1350.095749,200,18.71839
-1302.320084,200,18.811465
-939.649884,200,18.908826
-780.058407,200,19.011147
-984.895897,200,19.104371
-1091.421088,200,19.197778
-879.784852,200,19.660904
-830.496729,200,19.765787
-1027.880067,200,19.864275
-1696.015904,200,19.961361
-785.626635,200,20.057619
-1712.284346,200,20.155232
-1078.482999,200,20.250229
-1003.006458,200,20.3494
-765.608391,200,20.443036
-900.621819,200,20.550658
-1075.931562,200,21.012249
-1369.468604,200,21.110771
-1596.650617,200,21.216293
-1325.541445,200,21.317942
-1453.009332,200,21.420888
-962.667112,200,21.52497
-864.673505,200,21.627717
-1091.689158,200,21.726759
-959.741725,200,21.823744
-1079.341847,200,21.923398
-844.58301,200,22.386546
-1089.785403,200,22.484934
-1190.206339,200,22.581295
-1325.941247,200,22.678014
-768.798837,200,22.773378
-824.59762,200,22.867166
-1139.443401,200,22.960722
-1225.219902,200,23.05397
-1506.083288,200,23.149345
-1834.395405,200,23.243876
-905.639596,200,23.651389
-978.512836,200,23.743804
-1082.532262,200,23.837069
-1345.887546,200,23.931485
-1809.616579,200,24.030871
-1069.486751,200,24.128878
-1598.276532,200,24.223558
-903.834634,200,24.31708
-1075.516022,200,24.411604
-1432.319567,200,24.504953
-1176.479373,200,24.599044
-1097.315269,200,25.006621
-1415.395685,200,25.101173
-1732.244089,200,25.194619
-1243.728155,200,25.287675
-791.319722,200,25.380747
-749.58337,200,25.475308
-983.252162,200,25.569723
-807.195876,200,25.663913
-973.998665,200,25.757325
-876.207796,200,25.851641
-1093.887796,200,26.268305
-980.391913,200,26.361308
-1455.018542,200,26.454427
-1046.382565,200,26.547443
-1746.483346,200,26.640498
-861.305793,200,26.732788
-1117.826044,200,26.826826
-1322.534855,200,26.919569
-1359.968902,200,27.012824
-812.991931,200,27.105803
-1373.384165,200,27.512795
-1019.610599,200,27.606292
-878.73987,200,27.699913
-1720.786074,200,27.793962
-1311.931696,200,27.88672
-852.110551,200,27.982813
-1069.292952,200,28.076344
-861.535562,200,28.172291
-898.63718,200,28.272113
-1217.930801,200,28.370086
-1336.355516,200,28.839751
-1471.93831,200,28.935069
-1177.654961,200,29.028609
-1687.130982,200,29.122298
-955.802967,200,29.216759
-1083.90235,200,29.321557
-1032.651749,200,29.423034
-899.510227,200,29.516446
-899.38363,200,29.61006
-1041.984849,200,29.704948
-911.657334,200,29.811511
-1129.390103,200,30.253039
-1186.124853,200,30.373843
-1168.789694,200,30.468557
-1117.771475,200,30.57424
-1421.421799,200,30.675262
-1068.752361,200,30.780651
-958.385637,200,30.877544
-1366.713778,200,30.974536
-1349.910129,200,31.072256
