eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
200,-1486.662293,1324,0.003516549,0.03261719,1.413016,-0.002388253,6918.026,0.000944257,1,2048,1.546369425,2048
200,-1217.362922,1507,0.002524077,0.02236328,1.4269705,-0.002441975,4478.408,0.026668966,10,20480,14.46788773,20480
200,-1145.577234,1515,0.001939385,0.012353515,1.3975662,-0.000961761,4110.206,0.03872788,20,40960,27.8410721,40960
200,-1194.701223,1478,0.00359638,0.03828125,1.3256104,-0.002830203,3547.1106,0.027828693,30,61440,41.40893348,61440
200,-1128.122538,1453,0.001559604,0.00834961,1.2541742,-0.000287985,5014.022,0.032255948,40,81920,55.24619426,81920
200,-1030.95556,1313,0.003969719,0.043017577,1.1812036,-0.002041669,3289.405,0.034842074,50,102400,69.28143639,102400
200,-1020.30011,1584,0.004727635,0.05620117,1.1273887,-0.003740645,3162.9185,0.037798345,60,122880,83.12688909,122880
200,-942.564058,1313,0.003110798,0.03203125,1.0595253,-0.001395508,2926.487,0.050148129,70,143360,97.90249752,143360
200,-938.7478425,1411,0.002933451,0.026660156,1.0390501,-0.001954065,2417.7134,0.058309555,80,163840,113.0300761,163840
200,-955.4036618,1159,0.002430894,0.020361328,1.0021867,-0.000933142,2736.1108,0.056161344,90,184320,128.734943,184320
200,-938.4485578,1537,0.003843748,0.041015625,0.9496207,-0.001007509,1929.8066,0.057987511,100,204800,142.5035111,204800
200,-842.927732,1568,0.002706245,0.026757812,0.9549862,-0.001333394,1933.5504,0.065052986,110,225280,156.2920272,225280
200,-847.5969583,1569,0.002871975,0.027246093,0.94362783,-0.001562717,1554.7911,0.075408459,120,245760,169.9157738,245760
200,-849.9654186,1554,0.002495739,0.025439452,0.94153225,-0.001634509,1760.6732,0.072784841,130,266240,183.8972973,266240
200,-939.8038235,1430,0.002960835,0.029003907,0.9093131,-0.001022484,2384.3335,0.07230711,140,286720,197.5668008,286720
200,-876.6595586,1594,0.004069305,0.046240233,0.88288593,-0.002630042,3397.9087,0.072290003,150,307200,210.4025109,307200
200,-877.6519404,1597,0.004725292,0.056103516,0.84416664,-0.002684951,3093.008,0.078926682,160,327680,223.1776483,327680
200,-778.3460378,1224,0.002826952,0.027539063,0.7786707,0.000584137,1875.9567,0.104653537,170,348160,236.5850494,348160
200,-809.4311504,1488,0.005300161,0.05756836,0.8272945,-0.000669567,1489.8322,0.130905986,180,368640,250.5561285,368640
200,-652.845765,1532,0.004285671,0.047802735,0.80961895,-0.001571492,1071.5844,0.210134864,190,389120,263.7552422,389120
200,-568.1430029,1495,0.002802553,0.024169922,0.7756268,-0.000272389,1521.8226,0.244780064,200,409600,276.7281081,409600
200,-566.2459825,1580,0.009632153,0.123291016,0.7271335,2.18E-05,1038.967,0.394185901,210,430080,289.5964966,430080
200,-594.8624215,1527,0.004116641,0.047802735,0.7087182,0.001426285,2220.7068,0.366197169,220,450560,303.0346156,450560
200,-577.914643,1591,0.005798309,0.069970705,0.6582042,0.000803205,1302.5363,0.430251598,230,471040,316.3786458,471040
200,-560.9994485,1373,0.008147588,0.09536133,0.634893,0.003241122,1475.8738,0.510243893,240,491520,330.0667283,491520
200,-511.8180137,1526,0.005904921,0.06992187,0.61821914,0.002174267,1194.596,0.55545935,250,512000,343.4531487,512000
200,-577.3037598,1585,0.004937371,0.056933593,0.5609411,-0.001823911,543.38025,0.676202297,260,532480,356.5225516,532480
200,-508.8221301,1364,0.007208298,0.08862305,0.570479,0.000743801,1698.9766,0.570551157,270,552960,369.5605137,552960
200,-484.3478331,1601,0.009256008,0.09863281,0.4827218,-0.001550448,837.2878,0.702610523,280,573440,383.3336644,573440
200,-464.7562617,1608,0.006812733,0.08598633,0.4538351,-0.00308834,290.05048,0.795352563,290,593920,396.0471898,593920
200,-517.0859913,1594,0.006123173,0.05732422,0.46168488,-0.000782225,313.43222,0.777782708,300,614400,408.7848975,614400
200,-591.3061058,1620,0.006877822,0.083740234,0.3783986,0.000132451,1620.607,0.682887942,310,634880,421.4701015,634880
200,-549.1258641,1603,0.003514499,0.03642578,0.36892024,-0.000494006,819.8156,0.715311706,320,655360,434.2781274,655360
200,-558.9395654,1601,0.004891299,0.05517578,0.38537174,0.001066568,940.2868,0.766412199,330,675840,446.9764824,675840
200,-464.8637267,1583,0.005060477,0.051464844,0.31226078,0.001342246,1328.7164,0.745391965,340,696320,459.7486088,696320
200,-488.087256,1518,0.012596455,0.095947266,0.29238686,0.00805095,983.02606,0.777771875,350,716800,473.3823544,716800
